Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
40700081,no job,no job,no job,has job,has job,has job,has job,has job,has job
40700092,no job,no job,no job,no job,no job,has job,has job,has job,has job
40700091,has job,has job,has job,no job,has job,has job,has job,has job,has job
40731002,no job,no job,has job,has job,no job,has job,has job,has job,has job
40900003,no job,no job,no job,no job,no job,no job,no job,no job,has job
40900007,has job,has job,has job,has job,has job,has job,has job,has job,has job
40900008,has job,has job,has job,has job,has job,has job,has job,has job,has job
40900051,has job,has job,has job,has job,has job,has job,has job,has job,has job
41000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
41000008,no job,no job,no job,no job,no job,no job,no job,has job,has job
41000009,no job,no job,no job,no job,no job,no job,no job,no job,has job
41000041,has job,has job,has job,has job,has job,has job,has job,has job,has job
41000042,no job,no job,no job,no job,has job,has job,has job,no job,has job
41000051,has job,has job,has job,has job,has job,has job,has job,has job,has job
41000052,no job,no job,has job,has job,has job,has job,has job,has job,no job
41031001,has job,has job,has job,has job,has job,has job,has job,has job,has job
41031002,no job,no job,has job,has job,has job,has job,has job,has job,no job
41300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
41300002,has job,has job,has job,has job,has job,has job,has job,has job,has job
41300004,no job,no job,no job,no job,no job,no job,no job,has job,has job
41300062,has job,has job,has job,has job,no job,no job,has job,has job,has job
41321001,no job,no job,has job,no job,has job,has job,has job,has job,has job
41321002,no job,no job,no job,no job,no job,has job,has job,no job,no job
41400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
41400002,no job,no job,no job,no job,no job,no job,no job,no job,no job
414000010,no job,has job,has job,has job,has job,has job,has job,has job,has job
414000011,no job,no job,no job,no job,no job,no job,no job,no job,no job
41400042,no job,no job,no job,no job,no job,no job,no job,has job,has job
41500003,has job,has job,has job,has job,has job,has job,has job,has job,has job
41500004,has job,has job,has job,has job,has job,has job,has job,has job,has job
41600001,no job,has job,has job,has job,has job,has job,has job,has job,has job
41600002,has job,has job,has job,has job,has job,has job,has job,has job,has job
41700004,has job,has job,has job,has job,has job,no job,no job,no job,no job
41800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
41800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
41900002,has job,has job,has job,has job,has job,has job,has job,no job,no job
41900031,no job,no job,no job,no job,no job,has job,has job,has job,has job
42000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
42000002,has job,has job,has job,has job,has job,has job,has job,has job,has job
42100002,has job,has job,has job,has job,has job,has job,has job,no job,no job
42200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
42200007,has job,has job,has job,has job,has job,has job,has job,has job,has job
42200052,no job,no job,no job,no job,no job,no job,has job,has job,no job
42200051,no job,no job,no job,has job,has job,has job,has job,has job,has job
42200062,no job,no job,no job,no job,no job,no job,no job,no job,has job
42200061,has job,has job,has job,has job,has job,has job,has job,has job,has job
42222001,no job,no job,no job,has job,has job,has job,has job,has job,has job
42300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
42321001,no job,no job,no job,has job,has job,has job,no job,no job,no job
42321002,no job,no job,has job,has job,has job,has job,has job,has job,has job
42400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
42400002,has job,has job,has job,has job,has job,has job,has job,has job,has job
42400006,has job,has job,has job,has job,has job,has job,has job,has job,has job
42400008,has job,has job,has job,has job,has job,has job,has job,has job,has job
42422001,no job,has job,has job,has job,has job,has job,has job,has job,has job
42422002,has job,has job,has job,has job,has job,has job,has job,has job,has job
42500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
42500002,has job,has job,has job,has job,has job,has job,no job,no job,no job
42531001,has job,has job,has job,has job,has job,has job,has job,has job,has job
42531002,has job,has job,has job,has job,has job,has job,has job,has job,has job
42600006,no job,no job,has job,has job,has job,has job,has job,no job,no job
42600021,has job,has job,has job,has job,has job,has job,has job,has job,has job
42600051,has job,has job,has job,has job,has job,has job,has job,has job,has job
42600052,has job,has job,has job,has job,has job,has job,no job,no job,has job
42700011,has job,has job,has job,has job,has job,has job,has job,has job,has job
42900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
42900004,no job,no job,no job,has job,has job,has job,has job,has job,has job
43000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
43000004,no job,no job,no job,no job,no job,no job,no job,no job,has job
