Person,2007,2008,2009,2010,2011,2012,2013,2014
32600042,has job,has job,has job,has job,has job,has job,has job,has job
32600052,no job,no job,no job,no job,no job,no job,no job,no job
32700002,has job,has job,has job,has job,has job,has job,has job,6
32700003,no job,no job,no job,no job,has job,has job,has job,6
32700006,no job,no job,no job,no job,has job,has job,has job,6
32800001,has job,has job,has job,has job,has job,has job,has job,has job
32800002,has job,has job,has job,has job,has job,has job,has job,has job
32800003,has job,has job,has job,has job,has job,has job,has job,has job
32800005,has job,has job,has job,has job,has job,has job,has job,has job
32900001,has job,has job,has job,has job,has job,has job,has job,6
32900002,has job,has job,has job,has job,has job,has job,has job,6
32941005,no job,has job,has job,has job,has job,has job,has job,has job
32941008,no job,no job,no job,no job,no job,no job,no job,no job
32941006,no job,no job,no job,has job,has job,has job,no job,no job
33000003,has job,has job,has job,has job,has job,has job,has job,6
40100002,has job,has job,has job,has job,has job,has job,has job,has job
40100031,no job,no job,no job,no job,has job,has job,has job,has job
40200002,has job,has job,has job,has job,has job,has job,has job,has job
40241002,has job,has job,has job,has job,has job,has job,has job,has job
40200071,no job,no job,no job,no job,has job,has job,has job,has job
40200082,no job,no job,no job,has job,has job,has job,has job,has job
40200009,has job,has job,has job,has job,has job,has job,has job,has job
40241004,has job,has job,has job,has job,has job,has job,has job,has job
40200081,no job,no job,no job,no job,no job,has job,has job,has job
40300011,has job,has job,has job,has job,has job,has job,has job,has job
40300003,has job,has job,has job,has job,has job,has job,has job,has job
40321005,no job,has job,has job,has job,has job,has job,has job,has job
40300009,has job,has job,has job,has job,has job,has job,has job,has job
403000010,has job,has job,has job,has job,has job,has job,has job,has job
40300111,no job,no job,no job,no job,no job,no job,no job,has job
40400003,has job,no job,has job,no job,has job,has job,has job,has job
404000011,has job,has job,has job,no job,no job,no job,no job,has job
40400062,has job,has job,has job,has job,has job,has job,no job,has job
40500001,has job,has job,has job,has job,has job,has job,has job,has job
40500061,no job,no job,no job,no job,no job,no job,no job,no job
40500032,has job,has job,has job,no job,no job,no job,no job,has job
40600001,has job,has job,has job,has job,has job,has job,has job,has job
40600031,has job,has job,has job,has job,has job,has job,has job,has job
40600041,no job,no job,has job,has job,has job,has job,has job,has job
40600051,no job,no job,has job,has job,has job,has job,has job,has job
40600042,has job,has job,has job,has job,has job,has job,has job,has job
40600052,has job,has job,has job,has job,has job,has job,has job,has job
40731002,has job,has job,has job,has job,has job,has job,has job,has job
40700007,has job,has job,has job,no job,no job,no job,no job,has job
40731003,no job,has job,has job,no job,no job,no job,no job,no job
40743002,has job,no job,no job,has job,has job,has job,has job,has job
40900003,has job,has job,has job,has job,has job,has job,has job,has job
40900007,has job,has job,has job,has job,has job,has job,has job,has job
40900008,has job,has job,has job,has job,has job,has job,has job,has job
41000001,has job,has job,has job,has job,has job,has job,has job,has job
41031001,has job,has job,has job,has job,has job,has job,has job,has job
41021002,has job,has job,has job,has job,has job,has job,has job,has job
41041001,has job,has job,has job,has job,has job,has job,has job,has job
41042001,has job,has job,has job,has job,has job,has job,has job,has job
41000061,has job,has job,has job,no job,no job,has job,has job,has job
41000081,has job,has job,has job,has job,has job,has job,has job,has job
41000009,no job,has job,has job,has job,has job,has job,has job,has job
41021001,has job,has job,has job,has job,has job,has job,has job,has job
41031002,has job,has job,has job,has job,has job,has job,has job,has job
41031003,has job,has job,has job,has job,has job,has job,has job,has job
41031004,no job,has job,has job,has job,has job,has job,has job,has job
41041002,no job,no job,no job,no job,no job,no job,has job,has job
41042002,has job,has job,has job,has job,has job,has job,has job,has job
41000062,no job,no job,has job,no job,has job,has job,has job,has job
41000082,has job,has job,has job,has job,has job,has job,has job,has job
41111001,has job,has job,has job,has job,has job,has job,has job,has job
41300001,has job,has job,has job,has job,has job,has job,has job,has job
41300002,has job,has job,has job,has job,has job,has job,has job,has job
41321001,has job,has job,has job,has job,has job,has job,has job,has job
41341002,no job,no job,no job,no job,no job,has job,has job,has job
41300063,no job,no job,no job,no job,has job,has job,has job,has job
41321002,has job,has job,has job,has job,has job,has job,has job,has job
41400002,has job,has job,has job,has job,has job,has job,has job,has job
41400051,has job,has job,has job,has job,has job,has job,has job,has job
41400061,has job,has job,has job,has job,has job,has job,has job,has job
41400071,no job,no job,no job,no job,no job,has job,has job,has job
41400052,no job,no job,no job,no job,no job,no job,has job,has job
41441002,no job,no job,no job,no job,no job,no job,no job,has job
41500003,has job,has job,has job,has job,has job,has job,has job,has job
41500004,has job,has job,has job,has job,has job,has job,has job,has job
41600001,has job,has job,has job,has job,has job,has job,has job,has job
41600002,has job,has job,has job,has job,has job,has job,has job,has job
41600031,no job,no job,no job,no job,has job,has job,has job,has job
41600041,no job,no job,no job,no job,no job,has job,has job,has job
41600051,no job,no job,no job,no job,no job,has job,has job,has job
41941004,has job,has job,has job,has job,has job,has job,has job,has job
41941001,has job,has job,has job,has job,has job,has job,has job,has job
41941002,has job,has job,has job,has job,has job,has job,has job,no job
42000001,has job,has job,has job,has job,has job,has job,has job,has job
42000002,has job,has job,has job,has job,has job,has job,has job,has job
42041002,no job,no job,no job,no job,no job,no job,no job,has job
42041003,no job,no job,no job,no job,has job,has job,no job,no job
42200001,has job,has job,has job,has job,has job,has job,has job,has job
42200031,has job,has job,has job,has job,has job,has job,has job,has job
42200004,has job,has job,has job,has job,has job,has job,has job,has job
42242002,has job,has job,has job,has job,has job,has job,has job,has job
42200032,has job,has job,has job,has job,has job,has job,no job,has job
42300001,has job,has job,has job,has job,has job,has job,has job,has job
42300002,has job,has job,has job,has job,has job,has job,has job,has job
42321001,no job,no job,no job,no job,no job,no job,no job,no job
42321002,has job,has job,has job,has job,has job,has job,has job,has job
42400001,has job,has job,has job,has job,has job,has job,has job,has job
42400002,has job,has job,has job,has job,has job,has job,has job,has job
42422001,has job,has job,has job,has job,has job,has job,has job,has job
42400006,no job,has job,has job,no job,has job,no job,has job,has job
42422002,has job,has job,has job,has job,has job,has job,has job,has job
42500001,has job,has job,has job,has job,has job,has job,has job,has job
42531001,has job,has job,has job,has job,has job,has job,has job,has job
42531002,has job,has job,has job,has job,has job,has job,has job,has job
42642001,has job,has job,has job,has job,has job,has job,has job,has job
42600006,no job,no job,has job,has job,has job,has job,has job,has job
42641002,no job,no job,no job,no job,no job,no job,has job,6
426000015,no job,has job,has job,no job,no job,has job,has job,no job
42642002,has job,has job,has job,has job,has job,has job,has job,has job
42741001,has job,has job,has job,has job,has job,has job,has job,no job
42741005,no job,no job,has job,has job,has job,has job,has job,has job
42800004,has job,has job,has job,has job,has job,has job,has job,has job
42900001,has job,has job,has job,has job,has job,has job,has job,has job
42900002,has job,has job,has job,has job,has job,has job,has job,has job
42900004,no job,no job,no job,no job,has job,has job,has job,no job
42900052,has job,has job,has job,has job,no job,has job,has job,has job
43022002,has job,has job,has job,has job,has job,has job,has job,has job
43022005,has job,has job,has job,has job,has job,has job,has job,has job
50131001,has job,has job,has job,has job,has job,has job,has job,6
50100004,has job,has job,has job,has job,has job,has job,has job,6
50100005,has job,has job,has job,has job,has job,has job,has job,6
50131002,has job,has job,has job,has job,has job,has job,has job,6
50300001,has job,has job,has job,has job,has job,has job,has job,6
50341002,no job,no job,no job,no job,no job,has job,has job,has job
50300003,no job,no job,no job,no job,no job,no job,no job,6
50341001,has job,has job,has job,has job,has job,has job,has job,has job
50441003,has job,has job,has job,has job,has job,has job,has job,6
50442001,has job,has job,has job,has job,has job,has job,has job,6
50400009,no job,no job,no job,has job,has job,has job,has job,has job
50500002,has job,has job,has job,has job,has job,has job,has job,has job
50500003,no job,no job,no job,has job,has job,has job,has job,has job
50600001,has job,has job,has job,has job,has job,has job,has job,6
50600002,has job,has job,has job,has job,has job,has job,has job,6
50600031,has job,has job,has job,has job,has job,has job,has job,6
50641002,no job,has job,has job,has job,has job,has job,has job,6
50600007,no job,no job,no job,no job,no job,no job,has job,6
50641001,has job,has job,has job,has job,no job,has job,has job,6
50700001,has job,has job,has job,has job,has job,has job,has job,6
50800002,has job,has job,has job,has job,has job,has job,has job,6
50800003,has job,has job,has job,has job,has job,has job,has job,6
50900001,has job,has job,has job,has job,has job,has job,no job,has job
50900002,has job,has job,has job,has job,has job,has job,has job,has job
50900051,has job,has job,has job,has job,has job,has job,has job,has job
50900102,no job,no job,no job,no job,no job,no job,no job,has job
509000015,no job,no job,no job,no job,no job,no job,no job,has job
50941001,has job,has job,has job,has job,has job,has job,has job,has job
50900052,no job,has job,no job,no job,no job,no job,no job,has job
50900101,no job,no job,no job,has job,has job,has job,has job,has job
51000001,has job,has job,has job,has job,has job,has job,has job,6
51000002,no job,no job,no job,no job,no job,has job,has job,6
51041002,has job,has job,has job,has job,has job,has job,has job,6
51000005,has job,has job,has job,has job,no job,no job,has job,6
51041001,no job,no job,no job,no job,no job,has job,has job,6
51111001,has job,has job,has job,has job,has job,has job,has job,has job
51100004,has job,has job,has job,has job,has job,has job,has job,6
51100005,has job,has job,has job,has job,has job,has job,has job,6
51100008,has job,has job,has job,has job,has job,has job,has job,6
51111002,no job,no job,no job,no job,no job,has job,has job,has job
51111004,no job,no job,has job,has job,has job,has job,has job,has job
51341006,has job,has job,has job,has job,has job,has job,has job,6
51300081,no job,no job,no job,no job,has job,has job,has job,6
513000012,no job,no job,no job,no job,no job,no job,has job,6
51312003,has job,has job,has job,has job,has job,has job,has job,has job
51341001,has job,has job,has job,has job,has job,has job,has job,6
51400001,has job,has job,has job,has job,has job,has job,has job,6
51400002,has job,has job,has job,has job,has job,has job,has job,6
51431002,no job,no job,has job,has job,has job,has job,has job,6
51442002,has job,has job,has job,has job,has job,has job,has job,6
51400074,no job,has job,has job,has job,has job,has job,has job,6
51441001,has job,has job,has job,has job,has job,has job,has job,6
51400073,has job,has job,has job,has job,no job,no job,has job,6
51500001,has job,has job,has job,has job,has job,has job,has job,6
51500002,no job,no job,no job,no job,has job,has job,has job,6
51600001,has job,has job,has job,has job,no job,has job,has job,6
51600002,no job,no job,has job,has job,has job,has job,has job,6
51641002,has job,has job,has job,has job,has job,has job,has job,has job
51642002,has job,has job,has job,has job,has job,has job,has job,6
51600006,no job,no job,has job,has job,has job,has job,has job,6
51600072,no job,no job,no job,no job,no job,no job,has job,6
51641001,has job,has job,has job,has job,has job,has job,has job,has job
51641003,no job,no job,no job,no job,has job,has job,has job,has job
51642001,has job,has job,has job,has job,has job,has job,has job,6
51600071,has job,has job,has job,has job,has job,has job,has job,6
