hhid14_9,pid14,movenum,mg21bx,mg21cx,mg21dx,mg21ex,mg21e,mg21d,mg21c,mg21b,mg24x,mg24mth,mg24yr,mg25,mg26,mg27x,mg27,mg28,mg29,mg30,mg31,mg34a,mg34,mg35,mg36,mg39,mg40,hhid14,pidlink,version,module
048094100,1,1,1,1,1,1,62,16,4,11,1,98,1988,NA,1,1,300,4,NA,NA,NA,NA,3,NA,,1,NA,0480941,048090006,1.3,B3A_MG2
048094100,1,2,3,3,3,3,62,16,3,90,1,98,2001,NA,1,1,300,8,NA,NA,NA,NA,1,3,AG,3,NA,0480941,048090006,1.3,B3A_MG2
048090000,10,1,3,3,3,3,62,16,4,11,1,3,2008,NA,1,1,15,4,NA,NA,NA,NA,3,NA,,3,NA,0480900,048090010,1.3,B3A_MG2
048100004,2,1,3,3,3,3,62,16,4,11,1,2,2009,NA,1,1,2,4,NA,NA,NA,NA,3,NA,,3,NA,0481051,048105102,1.3,B3A_MG2
048124100,1,1,3,3,3,3,62,16,71,60,1,8,2008,NA,5,1,7,4,NA,NA,NA,NA,3,NA,,3,NA,0481241,048120005,1.3,B3A_MG2
048120006,2,1,3,3,3,3,62,16,71,21,1,8,2008,NA,5,8,NA,4,NA,NA,NA,NA,3,NA,,3,NA,0481251,048120006,1.3,B3A_MG2
048120006,4,1,3,3,3,3,62,16,71,21,1,2,2010,NA,3,1,360,1,1,1,NA,NA,3,NA,,3,NA,0481251,048120008,1.3,B3A_MG2
048124100,5,1,1,1,1,3,62,15,7,40,1,1,2004,NA,1,1,540,1,1,1,NA,NA,3,NA,,1,NA,0481241,048124105,1.3,B3A_MG2
048124100,5,2,3,3,3,3,62,16,71,60,1,8,2005,NA,3,1,540,1,1,2,NA,NA,1,2,BC,3,NA,0481241,048124105,1.3,B3A_MG2
048120006,1,1,3,3,3,3,62,16,71,21,1,8,1998,NA,5,1,360,2,NA,NA,1,NA,3,NA,,3,NA,0481251,048125101,1.3,B3A_MG2
048130000,8,1,1,1,1,1,62,16,3,93,1,98,2008,NA,1,8,NA,2,NA,NA,1,NA,3,NA,,1,NA,0481300,048130008,1.3,B3A_MG2
048130000,8,2,3,3,3,3,62,16,4,11,1,98,2012,NA,1,8,NA,2,NA,NA,1,NA,3,NA,,3,NA,0481300,048130008,1.3,B3A_MG2
048160000,9,1,3,3,3,3,62,16,4,11,1,10,2000,NA,1,1,5,4,NA,NA,NA,NA,3,NA,,3,NA,0481600,048160009,1.3,B3A_MG2
048174100,3,1,1,1,1,3,62,31,75,10,1,11,2003,NA,5,1,300,1,1,1,NA,NA,3,NA,,1,NA,0481741,048170004,1.3,B3A_MG2
048174100,3,2,1,1,1,3,62,35,1,10,1,4,2005,NA,1,1,300,4,NA,NA,NA,NA,3,NA,,1,NA,0481741,048170004,1.3,B3A_MG2
048174100,3,3,3,3,3,3,62,16,73,20,1,5,2014,NA,3,1,700,1,1,1,NA,NA,1,3,AG,3,NA,0481741,048170004,1.3,B3A_MG2
048170005,1,1,3,3,3,3,62,16,73,30,1,3,2013,NA,3,1,6,1,1,1,NA,NA,1,2,AG,3,NA,0481751,048170005,1.3,B3A_MG2
048170000,9,1,1,1,1,3,62,31,71,30,1,98,1988,NA,5,8,NA,2,NA,NA,1,NA,3,NA,,1,NA,0481700,048170009,1.3,B3A_MG2
048170000,9,2,1,1,1,3,62,32,75,40,1,98,1990,NA,5,1,35,1,1,1,NA,NA,1,3,I,1,NA,0481700,048170009,1.3,B3A_MG2
048170000,9,3,1,1,1,3,62,36,3,30,1,98,1991,NA,5,1,40,1,1,3,NA,NA,1,2,I,1,NA,0481700,048170009,1.3,B3A_MG2
048170000,9,4,1,1,1,3,62,16,71,50,1,98,1992,NA,5,8,NA,1,1,3,NA,NA,1,1,I,1,NA,0481700,048170009,1.3,B3A_MG2
048170000,9,5,1,1,1,3,62,31,72,30,1,98,1994,NA,5,8,NA,1,1,3,NA,NA,1,1,A,1,NA,0481700,048170009,1.3,B3A_MG2
048170000,9,6,3,3,3,3,62,73,15,41,1,7,2010,NA,3,8,NA,23,NA,NA,NA,NA,1,3,AG,3,NA,0481700,048170009,1.3,B3A_MG2
048170000,10,1,3,3,3,3,62,73,15,41,1,6,2010,NA,3,8,NA,8,NA,NA,NA,NA,1,3,AG,3,NA,0481700,048170010,1.3,B3A_MG2
048170000,12,1,3,3,3,3,62,73,15,41,1,5,2010,NA,3,8,NA,12,NA,NA,NA,NA,1,3,BCE,3,NA,0481700,048170012,1.3,B3A_MG2
048174100,4,1,1,1,1,3,62,31,75,10,1,6,1999,NA,5,1,500,2,NA,NA,1,NA,3,NA,,1,NA,0481741,048174104,1.3,B3A_MG2
048174100,4,2,1,1,1,3,62,35,1,10,1,98,2005,NA,3,1,400,4,NA,NA,NA,NA,3,NA,,1,NA,0481741,048174104,1.3,B3A_MG2
048174100,4,3,3,3,3,3,62,16,73,20,1,5,2013,NA,3,1,2000,12,NA,NA,NA,NA,1,3,AG,3,NA,0481741,048174104,1.3,B3A_MG2
048180003,3,1,1,1,1,3,62,31,71,30,1,98,2008,NA,5,1,1030,1,1,2,NA,NA,3,NA,,1,NA,0481851,048180003,1.3,B3A_MG2
048180003,3,2,1,1,3,3,62,16,4,11,1,98,2009,NA,1,1,1030,1,1,6,NA,NA,3,NA,,1,NA,0481851,048180003,1.3,B3A_MG2
048180003,3,3,3,3,3,3,62,16,73,40,1,98,2012,NA,1,1,40,1,1,2,NA,NA,1,2,AG,3,NA,0481851,048180003,1.3,B3A_MG2
048180004,1,1,3,3,3,3,62,31,71,30,1,98,2007,NA,5,1,20,4,NA,NA,NA,NA,3,NA,,3,NA,0481852,048180004,1.3,B3A_MG2
048184100,2,1,3,3,3,3,62,31,71,30,1,4,2012,NA,1,1,5,95,NA,NA,NA,NA,1,4,AG,3,NA,0481841,048180005,1.3,B3A_MG2
048180003,4,1,8,8,1,1,98,11,98,998,1,98,2004,NA,5,8,NA,1,1,1,NA,NA,3,NA,,1,NA,0481851,048185104,1.3,B3A_MG2
048180003,4,2,8,8,8,1,98,98,98,998,1,98,2006,NA,5,8,NA,1,1,1,NA,NA,3,NA,,1,NA,0481851,048185104,1.3,B3A_MG2
