Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
82900051,no job,no job,no job,no job,no job,no job,,,
82900064,no job,no job,no job,no job,no job,no job,no job,no job,
82931002,no job,no job,no job,no job,no job,no job,no job,no job,
83000044,no job,no job,no job,no job,no job,,,,
83000052,no job,no job,,,,,,,
90100031,,,,,,,no job,,
90100072,no job,no job,no job,no job,,,,,
90100081,no job,no job,no job,no job,no job,no job,,,
90200006,no job,no job,no job,no job,no job,no job,,,
90411002,no job,no job,no job,no job,no job,no job,no job,,
90500006,no job,no job,no job,no job,no job,no job,,,
90500008,no job,no job,no job,no job,no job,no job,no job,no job,
90500041,no job,no job,no job,no job,no job,no job,no job,,
90531002,no job,no job,no job,no job,,,,,
90600007,,,,,,,,,no job
90600022,no job,no job,no job,no job,no job,no job,no job,no job,no job
90600021,no job,no job,,,,no job,,,
90700006,no job,no job,no job,no job,no job,no job,no job,no job,
90700032,no job,no job,no job,no job,no job,no job,no job,,
90700052,no job,no job,no job,no job,no job,,,,
90700051,no job,no job,no job,no job,no job,,,,
90700101,no job,,,,,,,,
90800032,no job,no job,no job,,,,,,
90800041,no job,no job,no job,no job,,,,,
90800042,no job,no job,no job,no job,no job,no job,no job,no job,no job
91100004,no job,no job,no job,no job,no job,no job,no job,no job,
91100006,no job,no job,no job,no job,no job,no job,no job,,
911000011,no job,no job,no job,no job,,,,,
91600004,,,,,,,,,no job
91700062,no job,no job,,,,,,no job,no job
91700061,no job,no job,no job,,,,,,
91900041,no job,no job,no job,no job,no job,no job,,,
91900042,no job,no job,no job,no job,no job,no job,,no job,no job
91900052,no job,no job,no job,,,,,,
91900061,no job,no job,no job,no job,no job,,,,
92000041,no job,no job,no job,no job,no job,no job,,,no job
92100003,no job,no job,,,,,,,
92100006,no job,no job,no job,no job,no job,no job,no job,no job,
92100042,no job,no job,no job,no job,no job,no job,no job,,
92100041,no job,no job,no job,no job,,,,,
92500042,,,,,,,no job,no job,no job
92600004,no job,,,,,,,,
92600006,no job,no job,no job,no job,no job,no job,,,
92800033,no job,no job,no job,no job,no job,,,,
92800032,no job,no job,no job,no job,no job,no job,no job,,
92800041,no job,no job,no job,no job,no job,no job,no job,,
92900022,,,,no job,no job,no job,,,
92900041,no job,no job,,,,,,,
93000004,no job,no job,no job,,,,,,
93000022,no job,no job,,,,,,,
100300002,no job,no job,,,,,,,
100500002,no job,no job,no job,,,,,,
100522001,no job,no job,no job,,,,,,
100522007,no job,no job,no job,no job,no job,,,,no job
100531003,no job,no job,no job,,,no job,no job,no job,no job
100600007,no job,no job,no job,no job,no job,,,,
100600008,no job,no job,no job,no job,no job,no job,,,
100600041,no job,no job,,,no job,no job,no job,,
