Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
241400001,has job,has job,has job,has job,has job,has job,,has job,has job
241600003,has job,has job,has job,has job,has job,has job,has job,has job,has job
241621008,has job,has job,has job,has job,has job,has job,has job,has job,has job
241700002,,,has job,has job,has job,,has job,,has job
241721002,,,,,,,,has job,has job
242100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
242100004,,,,has job,has job,has job,has job,has job,has job
242100006,has job,has job,has job,has job,has job,has job,has job,has job,has job
242100008,has job,has job,has job,has job,has job,,,has job,has job
242200041,,,,,,,,has job,has job
242200051,,,,,,,has job,,
242300001,,has job,has job,has job,has job,has job,has job,has job,has job
242400004,,,,,,,,,has job
242500002,has job,has job,has job,has job,,,,,
242800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
242800005,,,,,,,has job,has job,has job
242800007,,,,,,,has job,has job,has job
242800012,,,,has job,,,,,
250300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
250400003,,,,,,,,,has job
250600051,,,,,,,has job,has job,has job
250700004,,,,,,,has job,has job,has job
250700009,,,,,,,,has job,has job
250800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
250800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
250800005,,has job,has job,has job,has job,has job,has job,has job,has job
251000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
251000002,has job,has job,has job,has job,has job,has job,has job,has job,has job
251000006,,,,,has job,has job,has job,has job,has job
251000007,,,,,has job,,,has job,has job
251000008,has job,has job,,,,has job,has job,,
251000051,,has job,has job,has job,has job,has job,has job,has job,has job
251031002,has job,,,,,,,,
251100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
251100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
251100005,,,,,,,,,has job
251100006,,,,,,has job,has job,has job,has job
251300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
251300052,,,has job,has job,has job,has job,has job,,
251331002,,,,,,has job,has job,has job,has job
251331001,has job,has job,has job,has job,has job,has job,has job,has job,
251400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
251400003,,,,,,,has job,has job,
251600002,has job,has job,has job,has job,,,,,
251600007,,,,,,,,has job,has job
251700002,,,,,,has job,has job,has job,has job
251800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
251800042,,,,,,,,,has job
251931005,has job,has job,has job,has job,has job,has job,has job,has job,has job
260221001,has job,has job,has job,has job,has job,has job,has job,has job,has job
261600005,has job,has job,has job,has job,has job,has job,has job,has job,has job
270400021,has job,has job,has job,has job,has job,has job,has job,has job,has job
270600082,has job,has job,has job,has job,has job,has job,has job,has job,has job
270613003,,,,,,,has job,has job,has job
270831004,has job,has job,has job,has job,has job,has job,has job,has job,has job
270900062,,has job,has job,has job,has job,has job,,,
270931002,,,,,,,has job,has job,has job
271200031,,,,,,has job,has job,has job,has job
272900004,,,,,,,,has job,has job
274300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
274300007,,,has job,has job,has job,has job,has job,has job,has job
274300023,,,,,,,,,has job
280200002,,,has job,has job,has job,has job,has job,has job,has job
280300002,has job,has job,has job,has job,has job,has job,has job,has job,has job
280300051,,,,,,,,,has job
280300062,,,,,,,,,has job
280331002,,,,,,has job,has job,has job,has job
280400003,,,,,,,,,has job
280400042,,,,has job,has job,,,,
280600003,has job,has job,has job,has job,has job,has job,has job,has job,has job
280700001,has job,has job,,,,,,,
280800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
