Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
300111002,has job,has job,has job,has job,has job,has job,has job,has job,has job
300300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
301100003,,,,,,has job,has job,has job,has job
301300006,has job,has job,has job,has job,has job,has job,has job,has job,has job
301600012,has job,has job,has job,has job,has job,has job,has job,has job,has job
301700042,has job,has job,has job,has job,has job,has job,has job,has job,has job
301800005,has job,has job,has job,has job,has job,has job,has job,has job,has job
302000002,has job,has job,has job,has job,has job,has job,has job,has job,has job
302100005,has job,has job,has job,has job,has job,has job,has job,has job,has job
302100009,has job,has job,has job,has job,has job,has job,has job,has job,has job
302500006,has job,has job,has job,has job,has job,has job,has job,has job,has job
302631002,has job,has job,has job,has job,has job,has job,has job,has job,has job
302800006,has job,has job,has job,has job,has job,has job,has job,has job,has job
302831001,has job,has job,has job,has job,has job,,,,
302900002,,,,,has job,has job,has job,has job,
310200002,has job,has job,has job,has job,has job,has job,has job,has job,has job
310211003,has job,has job,has job,has job,has job,has job,has job,,has job
311000002,has job,has job,has job,has job,has job,has job,has job,has job,has job
311232001,has job,has job,has job,has job,has job,has job,has job,has job,has job
311233001,has job,has job,has job,has job,has job,has job,has job,has job,has job
311233002,has job,has job,has job,,has job,has job,has job,has job,has job
311300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
311300002,has job,has job,has job,has job,has job,has job,,,has job
311432002,has job,has job,has job,has job,has job,has job,has job,has job,has job
311432001,,,,has job,has job,has job,has job,has job,has job
311600005,has job,has job,has job,has job,has job,has job,has job,has job,has job
311931002,has job,has job,has job,has job,has job,has job,has job,has job,has job
312500002,has job,,,,,,,,
312500031,has job,has job,has job,has job,has job,has job,has job,has job,has job
312600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
312600034,has job,has job,has job,has job,has job,has job,has job,has job,has job
312631001,,,,,,,has job,has job,
312631003,has job,has job,has job,has job,has job,has job,has job,has job,has job
312700002,has job,has job,has job,has job,has job,has job,has job,has job,has job
312700003,,,,has job,has job,has job,has job,has job,has job
312700004,,,,,has job,has job,has job,has job,has job
312800002,has job,has job,has job,has job,has job,has job,has job,has job,has job
312800004,,,,,has job,has job,has job,has job,has job
312800005,,,has job,has job,has job,has job,has job,has job,has job
312900005,,has job,has job,has job,has job,,,,
320300007,,,,,,,,has job,has job
320900051,,,,,,has job,has job,has job,
320931003,has job,has job,has job,has job,has job,has job,has job,has job,has job
322011001,has job,has job,has job,has job,has job,has job,has job,has job,has job
322811002,,,has job,has job,has job,has job,has job,has job,has job
322811003,,,,,has job,has job,has job,has job,has job
322900031,has job,has job,has job,has job,has job,has job,has job,has job,has job
322900062,,,,,has job,has job,has job,has job,has job
323000051,,,,,,,has job,has job,has job
330400042,has job,has job,has job,has job,has job,has job,has job,has job,has job
330500022,,,,has job,has job,has job,has job,has job,has job
330500051,,,,,,,has job,has job,has job
330631002,has job,has job,has job,has job,has job,has job,has job,has job,has job
330900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
331200004,,,,,has job,has job,has job,has job,has job
331300001,has job,has job,,,,,,,
331400021,has job,has job,has job,has job,has job,has job,has job,has job,has job
331500004,,,,,,,,,has job
331700001,has job,has job,,,,,,,has job
332400003,,has job,has job,has job,has job,has job,has job,has job,has job
332500051,has job,has job,has job,has job,has job,,,has job,has job
332631001,has job,has job,has job,has job,has job,has job,has job,has job,has job
332700008,,has job,has job,,has job,,has job,has job,has job
332700052,,,,has job,has job,has job,has job,,
332900041,has job,has job,has job,has job,has job,has job,has job,has job,has job
333000061,,has job,has job,has job,has job,has job,has job,has job,has job
333011005,has job,,,,,,,,
333012001,has job,has job,has job,has job,has job,has job,has job,has job,has job
340100002,has job,has job,has job,has job,has job,has job,has job,has job,has job
340200005,has job,has job,has job,has job,has job,has job,has job,has job,has job
340200062,has job,has job,has job,has job,has job,has job,has job,has job,has job
3404000010,,has job,has job,has job,has job,has job,has job,has job,has job
340500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
340800009,,,,,,has job,has job,,has job
341000051,has job,has job,has job,has job,has job,has job,has job,has job,has job
341000072,,has job,has job,has job,,,,,
341100041,has job,has job,,has job,has job,has job,has job,has job,has job
341300006,has job,has job,has job,has job,has job,has job,has job,has job,has job
3416000015,has job,has job,,,,,,,
341800004,,,,,,,has job,has job,has job
341900009,has job,has job,has job,has job,has job,has job,has job,has job,has job
342000006,,,,,,has job,has job,has job,has job
350331001,has job,has job,has job,has job,has job,has job,has job,has job,has job
350400001,has job,has job,has job,has job,has job,has job,has job,has job,
350700001,has job,has job,has job,has job,has job,has job,has job,has job,
350800072,,,,,,,,has job,has job
350831001,has job,has job,has job,has job,has job,has job,has job,has job,has job
350831002,has job,has job,has job,has job,has job,,,,
351000032,,has job,has job,has job,has job,has job,has job,has job,has job
351000031,has job,has job,has job,has job,has job,has job,has job,has job,has job
351000041,,,has job,has job,has job,has job,has job,has job,has job
351000042,,has job,has job,has job,has job,has job,has job,has job,has job
351300005,,,,,has job,has job,has job,has job,
351600002,,,,,,,has job,,
354100002,has job,has job,has job,has job,has job,,,,
354100071,has job,has job,has job,has job,has job,has job,has job,has job,has job
354331002,has job,has job,has job,has job,has job,has job,has job,has job,has job
354400001,has job,has job,has job,has job,has job,has job,,has job,
354400005,,,has job,has job,has job,has job,has job,has job,
354400041,has job,has job,has job,has job,has job,has job,has job,has job,
354500062,,,,,,has job,has job,has job,
360200003,,,,,has job,has job,has job,has job,has job
360231002,,,,,,has job,has job,has job,has job
360300035,,,,,,,has job,has job,has job
360311003,,,,,has job,has job,has job,has job,
360900003,has job,has job,has job,has job,has job,has job,has job,has job,
361111002,has job,has job,has job,has job,has job,has job,has job,has job,has job
361133002,has job,has job,has job,has job,has job,has job,has job,has job,has job
361133001,has job,has job,has job,has job,has job,has job,has job,has job,has job
361900003,,,,,,,,,has job
362000051,,,,,has job,has job,has job,has job,has job
370600014,has job,has job,has job,has job,has job,has job,has job,has job,has job
371700032,,,has job,has job,,,,,
380100042,has job,has job,has job,has job,has job,has job,has job,has job,has job
380131001,has job,has job,has job,has job,has job,has job,has job,has job,has job
380131002,has job,has job,has job,has job,has job,has job,has job,has job,has job
380300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
380400003,has job,has job,has job,has job,has job,has job,has job,has job,has job
380400005,,,,,has job,has job,has job,has job,has job
380600007,,,,,,,,,has job
380931002,has job,has job,has job,has job,has job,has job,has job,has job,has job
381000005,,,,,has job,has job,has job,has job,has job
381200002,,has job,has job,has job,has job,has job,has job,has job,has job
382000003,,,,,,,has job,has job,has job
382000004,has job,,,has job,has job,has job,,,
