Person,1999,2000,2001,2002,2003,2004,2005,2006,2007
452200006,,,,,,,,,has job
452800009,has job,has job,has job,has job,has job,has job,has job,has job,has job
460200051,,,,,,,,has job,has job
460300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
460500051,has job,has job,has job,has job,has job,has job,has job,has job,has job
460631001,has job,has job,has job,has job,has job,has job,has job,has job,has job
461300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
461600004,has job,has job,has job,,has job,has job,has job,has job,has job
461731001,has job,has job,has job,has job,has job,has job,has job,has job,has job
470400005,,,,,has job,,has job,has job,has job
471921005,,has job,has job,has job,has job,has job,has job,has job,has job
472531003,,has job,has job,has job,has job,has job,has job,has job,
472700004,,,,,,,,,has job
472700032,has job,has job,has job,has job,has job,has job,has job,has job,has job
481200001,,has job,has job,has job,has job,has job,has job,,
491700041,,,,has job,has job,has job,has job,has job,has job
500200001,has job,has job,has job,has job,has job,has job,has job,has job,
500200051,has job,has job,has job,has job,has job,has job,has job,has job,has job
500600005,has job,,,,,has job,,,
511000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
511400006,,,,,,,,,has job
511400007,,,,,,,,has job,has job
520800004,,,,,,,,has job,
520931003,has job,has job,has job,has job,has job,has job,has job,has job,has job
521600003,,,has job,has job,has job,has job,has job,has job,has job
531100016,,,,,has job,has job,has job,has job,
542000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
550700003,has job,has job,has job,has job,has job,has job,has job,has job,has job
551300051,has job,has job,has job,has job,has job,has job,has job,has job,has job
551400007,,,,,,,has job,,has job
551500051,,has job,has job,has job,has job,has job,has job,has job,has job
551900081,,,,has job,has job,has job,has job,has job,has job
560700005,,has job,has job,has job,has job,has job,has job,has job,has job
560911001,has job,has job,has job,has job,has job,has job,has job,has job,has job
571600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
572900001,has job,has job,has job,has job,has job,has job,has job,has job,has job
580400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
581031001,has job,has job,has job,has job,has job,has job,has job,has job,has job
591300041,has job,has job,has job,has job,has job,has job,has job,has job,has job
600400061,,has job,has job,has job,has job,has job,has job,has job,has job
601900062,,,,,,,,,has job
621233001,has job,has job,has job,has job,has job,has job,has job,has job,has job
630133001,has job,has job,has job,has job,has job,has job,has job,has job,has job
630400003,has job,has job,has job,has job,has job,has job,has job,has job,has job
631500004,,,,,,has job,has job,has job,has job
631600006,,,,,has job,has job,has job,has job,has job
631600007,,,,,,,,has job,has job
631631001,has job,has job,has job,has job,has job,has job,has job,has job,has job
631631003,,,,,has job,has job,has job,has job,has job
632400052,,,has job,has job,has job,,,,
632431001,has job,has job,has job,has job,has job,has job,has job,has job,has job
640100041,has job,has job,has job,has job,has job,has job,has job,has job,has job
640300061,has job,has job,has job,has job,has job,has job,has job,has job,has job
640500031,has job,has job,has job,has job,has job,has job,has job,has job,has job
640700001,has job,has job,has job,has job,has job,has job,has job,has job,has job
640731005,has job,has job,has job,has job,has job,has job,has job,has job,has job
640732001,has job,has job,has job,has job,has job,has job,has job,has job,has job
6410000011,has job,has job,has job,has job,has job,has job,has job,has job,has job
641100031,,has job,has job,has job,has job,has job,has job,has job,has job
641431001,has job,has job,has job,has job,has job,has job,has job,has job,has job
641900031,has job,has job,has job,has job,has job,has job,has job,has job,has job
642531002,has job,has job,has job,has job,has job,has job,has job,has job,has job
650700001,has job,has job,has job,has job,has job,has job,has job,has job,
660431007,has job,has job,has job,has job,has job,has job,has job,has job,has job
661200041,,,,has job,has job,has job,has job,has job,has job
670400004,has job,has job,has job,has job,has job,has job,has job,has job,has job
670500082,has job,has job,has job,has job,has job,has job,,,has job
680500061,has job,has job,has job,has job,has job,has job,has job,has job,has job
700100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
701121004,,,,has job,has job,has job,has job,has job,has job
701800001,has job,has job,has job,has job,has job,has job,has job,has job,has job
704200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
710500011,has job,has job,has job,has job,has job,has job,has job,has job,has job
714232001,,,,has job,has job,has job,has job,has job,has job
721131001,has job,has job,has job,has job,has job,has job,has job,has job,has job
730600004,has job,has job,has job,has job,has job,has job,has job,has job,has job
731300001,has job,has job,has job,has job,has job,has job,has job,has job,has job
731600003,has job,has job,has job,has job,has job,has job,has job,has job,has job
731931001,has job,has job,has job,has job,has job,has job,has job,has job,has job
740100041,has job,has job,has job,has job,has job,has job,has job,has job,has job
741100061,,,,,,,,,has job
741200001,has job,has job,has job,has job,has job,has job,has job,has job,
741421005,,has job,has job,has job,has job,has job,has job,has job,
741600051,,,,,,,,,has job
751200005,,,,,,,,has job,
761200005,has job,has job,has job,has job,has job,has job,has job,has job,
770500001,,has job,,has job,has job,,has job,,has job
771100001,has job,has job,has job,has job,has job,has job,has job,has job,has job
774200004,has job,has job,has job,has job,has job,has job,has job,has job,has job
774600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
781331001,has job,has job,has job,has job,has job,has job,has job,has job,has job
820600093,,,,,has job,has job,has job,has job,has job
820800062,has job,has job,has job,has job,has job,has job,has job,has job,has job
821200001,has job,has job,has job,has job,has job,has job,has job,has job,has job
821500041,has job,has job,has job,has job,has job,has job,has job,has job,has job
831000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
831200042,has job,has job,has job,has job,has job,has job,has job,has job,has job
831400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
840100032,has job,has job,has job,has job,has job,has job,has job,has job,has job
840100031,has job,has job,has job,has job,has job,has job,has job,has job,has job
8406000010,has job,has job,has job,has job,has job,has job,has job,has job,has job
840611001,has job,has job,has job,has job,has job,has job,has job,has job,has job
851131001,has job,has job,has job,has job,has job,has job,has job,has job,has job
870200001,has job,has job,has job,has job,has job,,,has job,has job
881021001,has job,has job,has job,has job,has job,has job,has job,has job,has job
881131001,has job,has job,has job,has job,has job,has job,has job,has job,
910500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
911500001,has job,has job,has job,has job,has job,has job,has job,has job,has job
911500003,,,,,,,,,has job
920600001,has job,has job,has job,has job,has job,has job,has job,has job,has job
920600004,,,,,,has job,has job,has job,has job
920800008,has job,has job,has job,has job,has job,has job,has job,has job,has job
930131002,has job,has job,has job,has job,has job,has job,has job,has job,has job
940400001,has job,has job,has job,has job,has job,has job,has job,has job,has job
941000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
941100001,,has job,has job,has job,has job,has job,has job,has job,has job
941200003,has job,has job,,,has job,has job,has job,has job,has job
951300041,,has job,has job,has job,has job,has job,has job,has job,has job
951400041,has job,has job,has job,has job,has job,has job,has job,has job,has job
951900011,has job,has job,,,,,,,
960100061,has job,has job,,,,,,,
961700001,has job,has job,has job,has job,,,,,
970400031,has job,has job,has job,has job,has job,has job,has job,has job,has job
972000001,has job,has job,has job,has job,has job,has job,has job,has job,has job
990812001,has job,has job,has job,has job,has job,has job,has job,has job,has job
9911000010,,has job,has job,has job,has job,has job,has job,has job,has job
1000931004,,,,,,,,,has job
1010900003,,,has job,has job,has job,has job,has job,has job,has job
1010900004,,,,,,,has job,has job,has job
10113000014,has job,has job,has job,has job,has job,has job,,has job,has job
1011900001,has job,,has job,has job,has job,has job,has job,has job,has job
1020800031,has job,has job,has job,has job,has job,has job,has job,has job,has job
1021100071,,,,,,has job,has job,has job,has job
1040800011,has job,has job,has job,has job,has job,has job,has job,,
1040800031,has job,has job,has job,has job,has job,has job,has job,has job,
1040900023,,,has job,,has job,has job,has job,has job,
1041400003,has job,has job,has job,has job,has job,has job,has job,has job,
1041800051,has job,has job,has job,has job,has job,has job,has job,has job,
1051100001,has job,has job,has job,has job,has job,has job,has job,has job,
1051500001,has job,has job,has job,has job,has job,has job,has job,has job,
1051900004,,,,has job,has job,has job,has job,has job,
1061031001,has job,has job,has job,has job,has job,has job,has job,has job,
1061100001,has job,has job,has job,has job,has job,has job,has job,has job,
1071400031,,,,,,has job,has job,has job,has job
1071900008,,has job,has job,has job,has job,has job,has job,has job,has job
1081231001,,,,,has job,has job,,,
