hhid_pid,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
195070003.00-1,NA,NA,NA,71 - 16 - 32 - 62,71 - 16 - 32 - 62,71 - 16 - 32 - 62,71 - 16 - 32 - 62,113 - 15 - 32 - 62,113 - 15 - 32 - 62,113 - 15 - 32 - 62,10 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195070003.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195073100.00-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90 - 27 - 33 - 62,90 - 27 - 33 - 62,90 - 27 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195090000.00-7,NA,NA,NA,40 - 28 - 33 - 62,20 - 28 - 33 - 62,998 - 98 - 31 - 62,20 - 28 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195090000.00-10,170 - 29 - 33 - 62,170 - 29 - 33 - 62,170 - 29 - 33 - 62,170 - 29 - 33 - 62,170 - 29 - 33 - 62,170 - 29 - 33 - 62,170 - 29 - 33 - 62,170 - 29 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195090005.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120 - 28 - 33 - 62
195100003.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 76 - 33 - 62
195100004.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 76 - 33 - 62,20 - 76 - 33 - 62,998 - 98 - 98 - 0,20 - 76 - 33 - 62,20 - 76 - 33 - 62,20 - 76 - 33 - 62
195110000.00-6,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,30 - 76 - 33 - 62,998 - 98 - 98 - 0,998 - 98 - 98 - 0
195110007.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195114200.00-3,998 - 98 - 98 - 98,998 - 98 - 98 - 98,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195120000.00-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 3 - 94 - 62,998 - 3 - 94 - 62,998 - 3 - 94 - 62,998 - 3 - 94 - 62,30 - 76 - 33 - 62
195121100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195121100.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195121100.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195124104.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195124104.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 76 - 33 - 62
195140000.00-2,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195150000.00-14,NA,NA,NA,NA,20 - 71 - 31 - 62,998 - 71 - 36 - 62,998 - 71 - 36 - 62,998 - 73 - 31 - 62,998 - 73 - 31 - 62,998 - 75 - 31 - 62,998 - 75 - 31 - 62,998 - 75 - 31 - 62,998 - 75 - 31 - 62,998 - 75 - 31 - 62,998 - 75 - 31 - 62
195150000.00-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195150005.00-3,NA,NA,NA,NA,NA,20 - 76 - 33 - 62,20 - 76 - 33 - 62,20 - 76 - 33 - 62,20 - 76 - 33 - 62,20 - 76 - 33 - 62,20 - 76 - 33 - 62,20 - 76 - 33 - 62,20 - 76 - 33 - 62,20 - 76 - 33 - 62,20 - 76 - 33 - 62
195150005.00-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 76 - 33 - 62,20 - 76 - 33 - 62,20 - 76 - 33 - 62
195160000.00-8,NA,NA,NA,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,998 - 98 - 98 - 0,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195160000.00-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195174100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195174100.00-2,NA,NA,998 - 98 - 33 - 62,998 - 98 - 33 - 62,998 - 98 - 33 - 62,998 - 98 - 33 - 62,998 - 98 - 33 - 62,998 - 98 - 33 - 62,998 - 98 - 35 - 62,998 - 98 - 35 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195184100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195190000.00-5,NA,NA,NA,NA,NA,NA,NA,NA,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195190000.00-19,998 - 98 - 94 - 62,998 - 98 - 94 - 62,120 - 20 - 33 - 62,120 - 20 - 33 - 62,120 - 20 - 33 - 62,120 - 20 - 33 - 62,120 - 20 - 33 - 62,120 - 20 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195190000.00-20,NA,NA,NA,NA,NA,NA,20 - 79 - 32 - 62,20 - 79 - 32 - 62,20 - 79 - 32 - 62,20 - 79 - 32 - 62,20 - 79 - 32 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
195190003.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160 - 28 - 33 - 62,160 - 28 - 33 - 62,160 - 28 - 33 - 62,160 - 28 - 33 - 62,160 - 28 - 33 - 62
195190003.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160 - 28 - 33 - 62,160 - 28 - 33 - 62,160 - 28 - 33 - 62,160 - 28 - 33 - 62,160 - 28 - 33 - 62
195190006.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 76 - 33 - 62
195194200.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 76 - 33 - 62,20 - 76 - 33 - 62,20 - 76 - 33 - 62,30 - 76 - 33 - 62
195200000.00-1,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62,30 - 76 - 33 - 62
196030000.00-4,NA,998 - 71 - 32 - 62,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
196030000.00-6,NA,NA,NA,NA,NA,NA,81 - 71 - 21 - 62,81 - 71 - 21 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
196050000.00-5,NA,NA,NA,NA,NA,NA,NA,998 - 3 - 36 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
196054101.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70 - 1 - 34 - 62,70 - 1 - 34 - 62,70 - 1 - 34 - 62
196054101.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70 - 1 - 34 - 62,70 - 1 - 34 - 62,70 - 1 - 34 - 62
196074100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 2 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,60 - 75 - 31 - 62
196074200.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 8 - 51 - 62
196080011.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
196120000.00-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
196130000.00-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 3 - 36 - 62,998 - 3 - 36 - 62,60 - 72 - 31 - 62,60 - 72 - 31 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
196130000.00-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 32 - 62,998 - 98 - 32 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
196150000.00-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
196150006.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61 - 16 - 32 - 62,61 - 16 - 32 - 62,61 - 16 - 32 - 62,61 - 16 - 32 - 62
196150008.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196183103.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170 - 4 - 34 - 62,170 - 4 - 34 - 62,170 - 4 - 34 - 62,170 - 4 - 34 - 62
196200000.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
196200000.00-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62
196230000.00-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90 - 16 - 32 - 62,90 - 16 - 32 - 62,90 - 16 - 32 - 62,20 - 1 - 34 - 62
196234200.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90 - 16 - 32 - 62,90 - 16 - 32 - 62,90 - 16 - 32 - 62
196240005.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,70 - 1 - 34 - 62,70 - 1 - 34 - 62,70 - 1 - 34 - 62,70 - 1 - 34 - 62,70 - 1 - 34 - 62,70 - 1 - 34 - 62
196240011.00-1,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62,60 - 29 - 33 - 62
196240011.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60 - 29 - 33 - 62,60 - 29 - 33 - 62
196250000.00-10,NA,NA,NA,NA,NA,NA,NA,NA,23 - 16 - 32 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
196260000.00-4,20 - 71 - 36 - 62,20 - 71 - 36 - 62,20 - 71 - 36 - 62,20 - 71 - 36 - 62,20 - 71 - 36 - 62,20 - 71 - 36 - 62,20 - 71 - 36 - 62,20 - 71 - 36 - 62,20 - 71 - 36 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
196270002.00-2,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62
196270002.00-3,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62,230 - 2 - 32 - 62
196280000.00-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197014100.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70 - 4 - 34 - 62
197024100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197024100.00-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197030005.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197050000.00-5,NA,NA,NA,NA,NA,NA,NA,NA,22 - 71 - 14 - 62,22 - 71 - 14 - 62,22 - 71 - 14 - 62,22 - 71 - 14 - 62,22 - 71 - 14 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197060000.00-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197110003.00-1,40 - 72 - 33 - 62,40 - 72 - 33 - 62,40 - 72 - 33 - 62,40 - 72 - 33 - 62,40 - 72 - 33 - 62,40 - 72 - 33 - 62,40 - 72 - 33 - 62,40 - 72 - 33 - 62,40 - 72 - 33 - 62,120 - 9 - 33 - 62,120 - 9 - 33 - 62,120 - 9 - 33 - 62,120 - 9 - 33 - 62,120 - 9 - 33 - 62,120 - 9 - 33 - 62
197120004.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70 - 4 - 34 - 62,70 - 4 - 34 - 62,70 - 4 - 34 - 62,70 - 4 - 34 - 62
197140003.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197150000.00-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197150005.00-1,180 - 1 - 32 - 62,180 - 1 - 32 - 62,180 - 1 - 32 - 62,180 - 1 - 32 - 62,180 - 1 - 32 - 62,180 - 1 - 32 - 62,180 - 1 - 32 - 62,180 - 1 - 32 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197160000.00-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197170000.00-6,10 - 74 - 31 - 62,10 - 74 - 31 - 62,10 - 74 - 31 - 62,10 - 74 - 31 - 62,10 - 74 - 31 - 62,90 - 6 - 33 - 62,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,90 - 6 - 33 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197170004.00-2,NA,NA,NA,NA,NA,NA,NA,NA,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,998 - 98 - 98 - 98,30 - 1 - 34 - 62,30 - 1 - 34 - 62
197170004.00-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 - 1 - 34 - 62,30 - 1 - 34 - 62
197200000.00-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197200000.00-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197200000.00-9,NA,NA,NA,NA,NA,NA,NA,110 - 2 - 34 - 62,110 - 2 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197200000.00-16,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197200000.00-17,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197200005.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,110 - 2 - 34 - 62,110 - 2 - 34 - 62,110 - 2 - 34 - 62,110 - 2 - 34 - 62
197200010.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 - 1 - 34 - 62,10 - 1 - 34 - 62,10 - 1 - 34 - 62,10 - 1 - 34 - 62,10 - 1 - 34 - 62,10 - 1 - 34 - 62
197200011.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,110 - 2 - 34 - 62,110 - 2 - 34 - 62,110 - 2 - 34 - 62,10 - 1 - 34 - 62,10 - 1 - 34 - 62,10 - 1 - 34 - 62
197200012.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110 - 2 - 34 - 62,110 - 2 - 34 - 62,110 - 2 - 34 - 62,10 - 1 - 34 - 62,10 - 1 - 34 - 62
197201100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,120 - 4 - 34 - 62,120 - 4 - 34 - 62,120 - 4 - 34 - 62,120 - 4 - 34 - 62,120 - 4 - 34 - 62,120 - 4 - 34 - 62
197220000.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,998 - 6 - 14 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197230000.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62,20 - 1 - 34 - 62
197240003.00-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 76 - 32 - 62
197253200.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,60 - 6 - 33 - 62,60 - 6 - 33 - 62,60 - 6 - 33 - 62,60 - 6 - 33 - 62,150 - 73 - 32 - 62,150 - 73 - 32 - 62
197280003.00-2,NA,NA,NA,NA,NA,NA,NA,998 - 22 - 33 - 62,998 - 22 - 33 - 62,998 - 22 - 33 - 62,998 - 22 - 33 - 62,998 - 22 - 33 - 62,998 - 22 - 33 - 62,998 - 22 - 33 - 62,40 - 1 - 34 - 62
197290000.00-3,NA,NA,NA,NA,NA,NA,NA,NA,140 - 2 - 34 - 62,140 - 2 - 34 - 62,140 - 2 - 34 - 62,140 - 2 - 34 - 62,140 - 2 - 34 - 62,140 - 2 - 34 - 62,20 - 1 - 34 - 62
198010003.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62
198020000.00-3,998 - 4 - 32 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,998 - 4 - 12 - 62,998 - 4 - 12 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62
198040000.00-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62
198094100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62
198094100.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62
198100000.00-8,NA,NA,NA,NA,998 - 16 - 32 - 62,998 - 16 - 32 - 62,998 - 16 - 32 - 62,998 - 16 - 32 - 62,998 - 16 - 32 - 62,998 - 16 - 32 - 62,71 - 16 - 32 - 62,71 - 16 - 32 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62
198111103.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110 - 4 - 34 - 62,110 - 4 - 34 - 62
198130001.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198130002.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10 - 75 - 32 - 62,10 - 75 - 32 - 62,10 - 75 - 32 - 62
198134100.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170 - 2 - 34 - 62,170 - 2 - 34 - 62,170 - 2 - 34 - 62,170 - 2 - 34 - 62,170 - 2 - 34 - 62
198134100.00-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170 - 2 - 34 - 62,170 - 2 - 34 - 62,170 - 2 - 34 - 62,170 - 2 - 34 - 62,170 - 2 - 34 - 62
198140000.00-3,NA,NA,NA,NA,NA,NA,NA,NA,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62
198140000.00-4,NA,NA,NA,NA,NA,NA,NA,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62
198170004.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62,50 - 2 - 34 - 62
198170005.00-1,NA,NA,NA,NA,NA,998 - 16 - 32 - 62,998 - 16 - 32 - 62,998 - 16 - 32 - 62,998 - 16 - 32 - 62,998 - 16 - 32 - 62,160 - 3 - 32 - 62,160 - 3 - 32 - 62,160 - 3 - 32 - 62,160 - 3 - 32 - 62,160 - 3 - 32 - 62
198170005.00-2,10 - 77 - 32 - 62,10 - 77 - 32 - 62,10 - 77 - 32 - 62,998 - 16 - 32 - 62,998 - 16 - 32 - 62,90 - 16 - 32 - 62,90 - 16 - 32 - 62,160 - 3 - 32 - 62,160 - 3 - 32 - 62,160 - 3 - 32 - 62,160 - 3 - 32 - 62,160 - 3 - 32 - 62,160 - 3 - 32 - 62,160 - 3 - 32 - 62,160 - 3 - 32 - 62
198200000.00-7,NA,NA,NA,NA,70 - 15 - 32 - 62,50 - 15 - 32 - 62,70 - 15 - 32 - 62,70 - 15 - 32 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62
199050003.00-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 - 2 - 34 - 62
199060000.00-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60 - 2 - 34 - 62,60 - 2 - 34 - 62,60 - 2 - 34 - 62
