hhid_pid,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
002250000-4,NA,NA,NA,NA,NA,NA,NA,NA,30 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002250000-5,NA,NA,NA,NA,30 - 14 - 12 - 62,30 - 14 - 12 - 62,30 - 14 - 12 - 62,70 - 72 - 31 - 62,70 - 72 - 31 - 62,70 - 72 - 31 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002250000-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34 - 14 - 12 - 62,34 - 14 - 12 - 62
002270005-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40 - 75 - 31 - 62,40 - 75 - 31 - 62
002290002-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 - 12 - 13 - 62,80 - 12 - 13 - 62,80 - 12 - 13 - 62,80 - 12 - 13 - 62,80 - 12 - 13 - 62
002294200-1,NA,NA,NA,NA,NA,NA,NA,100 - 12 - 13 - 62,100 - 12 - 13 - 62,100 - 12 - 13 - 62,100 - 12 - 13 - 62,100 - 12 - 13 - 62,100 - 12 - 13 - 62,100 - 12 - 13 - 62,100 - 12 - 13 - 62
002294200-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
002294200-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100 - 12 - 13 - 62,100 - 12 - 13 - 62,100 - 12 - 13 - 62
002300000-7,NA,NA,998 - 98 - 15 - 62,998 - 98 - 15 - 62,998 - 98 - 15 - 62,998 - 98 - 15 - 62,998 - 98 - 15 - 62,998 - 98 - 15 - 62,998 - 98 - 15 - 62,998 - 98 - 15 - 62,998 - 98 - 15 - 62,998 - 98 - 15 - 62,998 - 98 - 15 - 62,998 - 98 - 15 - 62,32 - 14 - 12 - 62
002300000-14,998 - 1 - 15 - 62,998 - 1 - 15 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62,32 - 14 - 12 - 62
003010005-1,NA,NA,NA,NA,70 - 7 - 12 - 62,70 - 7 - 12 - 62,70 - 7 - 12 - 62,70 - 7 - 12 - 62,70 - 7 - 12 - 62,70 - 7 - 12 - 62,130 - 7 - 12 - 62,130 - 7 - 12 - 62,130 - 7 - 12 - 62,130 - 7 - 12 - 62,150 - 7 - 12 - 62
003010005-2,NA,NA,NA,NA,NA,70 - 71 - 21 - 62,70 - 71 - 21 - 62,130 - 7 - 12 - 62,130 - 7 - 12 - 62,130 - 7 - 12 - 62,130 - 7 - 12 - 62,130 - 7 - 12 - 62,130 - 7 - 12 - 62,130 - 7 - 12 - 62,150 - 7 - 12 - 62
003010007-1,NA,NA,NA,NA,NA,NA,NA,NA,11 - 2 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62
003040000-1,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62
003040003-1,NA,NA,NA,NA,NA,NA,NA,20 - 5 - 14 - 62,40 - 75 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62
003040003-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62,50 - 77 - 12 - 62
