2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,hhid_pid
,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,14,14,14,32600061
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32600081
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,12,12,12,32700003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,32700006
50 - 21 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,32800001
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,32800003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,32900006
,NA,NA,NA,NA,NA,12,12,12,21,21,21,21,21,21,32941006
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,32941008
,NA,NA,NA,12,12,12,12,31,31,31,31,31,32,32,40100031
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,40100051
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,12,12,40200009
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,32,32,40200071
,NA,18,18,18,18,18,18,18,18,12,12,12,12,12,40200081
,NA,NA,NA,12,12,12,12,12,12,12,12,12,12,12,40200082
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,40241002
,12,12,12,21,21,21,21,21,21,21,21,21,12,12,40241004
71 - 6 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,40300009
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,40300011
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,40300111
,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,14,14,40321005
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,40400003
,NA,NA,NA,NA,21,21,21,21,12,12,12,12,12,12,404000011
170 - 8 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,40400062
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,40500041
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,40500061
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,40600032
998 - 75 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,40600041
81 - 71 - 21 - 62,21,21,21,21,12,12,12,12,12,12,12,12,12,12,40600042
,12,12,12,12,12,12,12,12,12,12,12,12,12,12,40600051
60 - 75 - 12 - 62,12,12,31,12,12,12,12,12,12,12,12,12,12,12,40600052
71 - 6 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,40700007
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,407000012
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,14,12,40731003
,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,40743002
,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,12,12,41000009
,NA,NA,NA,NA,NA,NA,18,12,12,12,12,12,12,12,41000062
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,41000081
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,41000082
71 - 6 - 12 - 62,12,12,12,12,12,12,12,12,12,12,12,12,12,12,41021001
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,41021041
,NA,NA,NA,NA,NA,NA,NA,12,14,14,14,14,14,14,41111001
,NA,NA,NA,NA,NA,NA,NA,12,12,12,14,14,14,14,41111003
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,41300063
,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,12,12,12,41321002
